id_transaksi,nama_sumber,nama_tujuan,jumlah_idr,kanal,timestamp
txn-f6f40bb193,Galih Valentina,Sandy Ramadhan,2569203.0,tunai,2026-03-17 10:00:00+00:00
txn-182b899c1c,Sandy Ramadhan,Nani Nugroho,691092.0,dompet_digital,2026-03-17 11:00:00+00:00
txn-5edf27bacd,Galih Valentina,Wisnu Handoko,1423395.0,transfer_bank,2026-03-22 06:00:00+00:00
txn-91a0939914,Jefri Firdaus,Mamat Abdi Hamdani,424418.0,dompet_digital,2026-03-23 02:00:00+00:00
txn-87b639db05,Wisnu Handoko,Mamat Abdi Hamdani,1616857.0,tunai,2026-03-26 08:00:00+00:00
txn-736589aeae,Wisnu Handoko,Iwan Ragil Prasetyo,1376551.0,dompet_digital,2026-03-26 08:00:00+00:00
txn-f54694d9bf,Mamat Abdi Hamdani,Sandy Ramadhan,798623.0,dompet_digital,2026-03-28 04:00:00+00:00
txn-0583172908,Mamat Abdi Hamdani,Jefri Firdaus,1541680.0,tunai,2026-03-28 07:00:00+00:00
txn-32c70c0d4d,Jefri Firdaus,Adi Supriyanto,2272428.0,transfer_bank,2026-03-29 12:00:00+00:00
txn-1a2f377dee,Galih Valentina,Wisnu Handoko,664897.0,dompet_digital,2026-04-02 03:00:00+00:00
txn-5a2fc078c3,Nani Nugroho,Mamat Abdi Hamdani,514140.0,transfer_bank,2026-04-02 07:00:00+00:00
txn-2d0d5adb91,Hadi Didik Widodo,Lutfi Junaedi,1942606.0,transfer_bank,2026-04-03 01:00:00+00:00
